Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
ISAT,Chrome 115.0.5790.110,,,2023-08-01 13:47:53,2023-08-01 13:50:02,2m - 9.416s,FAILED
,,,,,,,
Test Cases/REGISTER/Prefix ID/0814 INDOSAT M2,Chrome 115.0.5790.110,Prefix indo,,2023-08-01 13:47:53,2023-08-01 13:48:19,25.749s,PASSED
"openBrowser("""")",Chrome 115.0.5790.110,,,2023-08-01 13:47:54,2023-08-01 13:47:56,2.455s,PASSED
maximizeWindow(),Chrome 115.0.5790.110,,,2023-08-01 13:47:56,2023-08-01 13:47:56,0.153s,PASSED
"navigateToUrl(""https://bebeclub.eydendigital.co.id/membership/registration"")",Chrome 115.0.5790.110,,,2023-08-01 13:47:56,2023-08-01 13:48:13,16.331s,PASSED
"click(findTestObject(""Homepage/a_Register""))",Chrome 115.0.5790.110,,,2023-08-01 13:48:13,2023-08-01 13:48:13,0.464s,PASSED
"setText(findTestObject(""Page_Bebeclub - Membership Registration/input_Nama Depan_first-name-form""), ""aziza"")",Chrome 115.0.5790.110,,,2023-08-01 13:48:13,2023-08-01 13:48:13,0.289s,PASSED
"setText(findTestObject(""Page_Bebeclub - Membership Registration/input_Nama Belakang_last-name-form""), ""prefix"")",Chrome 115.0.5790.110,,,2023-08-01 13:48:13,2023-08-01 13:48:14,0.207s,PASSED
randomNum = generateRandomNumber(),Chrome 115.0.5790.110,,,2023-08-01 13:48:14,2023-08-01 13:48:14,0.001s,PASSED
random = new java.util.Random(),Chrome 115.0.5790.110,,,2023-08-01 13:48:14,2023-08-01 13:48:14,0.006s,PASSED
"lastNineDigits = String.format(""%09d"", random.nextInt(1000000000))",Chrome 115.0.5790.110,,,2023-08-01 13:48:14,2023-08-01 13:48:14,0.001s,PASSED
"randomNumber = ""0814"" + lastNineDigits",Chrome 115.0.5790.110,,,2023-08-01 13:48:14,2023-08-01 13:48:14,0.000s,PASSED
return randomNumber,Chrome 115.0.5790.110,,,2023-08-01 13:48:14,2023-08-01 13:48:14,0.001s,PASSED
"setText(findTestObject(""Page_Bebeclub - Membership Registration/input__number-form""), randomNum)",Chrome 115.0.5790.110,,,2023-08-01 13:48:14,2023-08-01 13:48:14,0.276s,PASSED
"setEncryptedText(findTestObject(""Page_Bebeclub - Membership Registration/input_Password_pass-form""), ""iFGeFYmXIrUhQZHvW7P22w=="")",Chrome 115.0.5790.110,,,2023-08-01 13:48:14,2023-08-01 13:48:14,0.196s,PASSED
"setEncryptedText(findTestObject(""Page_Bebeclub - Membership Registration/input_Konfirmasi Password_konfirmasipass-form""), ""iFGeFYmXIrUhQZHvW7P22w=="")",Chrome 115.0.5790.110,,,2023-08-01 13:48:14,2023-08-01 13:48:14,0.209s,PASSED
"selectOptionByLabel(findTestObject(""Page_Bebeclub - Membership Registration/select_Pilih Kondisi Ibu Saat Ini""), ""Belum Hamil & Tidak Mempunyai Anak"", false)",Chrome 115.0.5790.110,,,2023-08-01 13:48:14,2023-08-01 13:48:15,0.235s,PASSED
"click(findTestObject(""Page_Bebeclub - Membership Registration/button_Kirim Kode OTP""))",Chrome 115.0.5790.110,,,2023-08-01 13:48:15,2023-08-01 13:48:15,0.161s,PASSED
delay(4),Chrome 115.0.5790.110,,,2023-08-01 13:48:15,2023-08-01 13:48:19,4.043s,PASSED
"verifyTextPresent(""Berhasil"", false)",Chrome 115.0.5790.110,,,2023-08-01 13:48:19,2023-08-01 13:48:19,0.115s,PASSED
"click(findTestObject(""Page_Bebeclub - Membership Registration/img""))",Chrome 115.0.5790.110,,,2023-08-01 13:48:19,2023-08-01 13:48:19,0.136s,PASSED
,,,,,,,
Test Cases/REGISTER/Prefix ID/0815 INDOSAT MENTARI,Chrome 115.0.5790.110,Prefix indo,,2023-08-01 13:48:19,2023-08-01 13:48:36,16.699s,PASSED
"openBrowser("""")",Chrome 115.0.5790.110,,,2023-08-01 13:48:19,2023-08-01 13:48:21,1.725s,PASSED
maximizeWindow(),Chrome 115.0.5790.110,,,2023-08-01 13:48:21,2023-08-01 13:48:21,0.136s,PASSED
"navigateToUrl(""https://bebeclub.eydendigital.co.id/membership/registration"")",Chrome 115.0.5790.110,,,2023-08-01 13:48:21,2023-08-01 13:48:29,7.592s,PASSED
"click(findTestObject(""Homepage/a_Register""))",Chrome 115.0.5790.110,,,2023-08-01 13:48:29,2023-08-01 13:48:30,1.004s,PASSED
"setText(findTestObject(""Page_Bebeclub - Membership Registration/input_Nama Depan_first-name-form""), ""aziza"")",Chrome 115.0.5790.110,,,2023-08-01 13:48:30,2023-08-01 13:48:30,0.244s,PASSED
"setText(findTestObject(""Page_Bebeclub - Membership Registration/input_Nama Belakang_last-name-form""), ""prefix"")",Chrome 115.0.5790.110,,,2023-08-01 13:48:30,2023-08-01 13:48:30,0.214s,PASSED
randomNum = generateRandomNumber(),Chrome 115.0.5790.110,,,2023-08-01 13:48:30,2023-08-01 13:48:30,0.000s,PASSED
random = new java.util.Random(),Chrome 115.0.5790.110,,,2023-08-01 13:48:30,2023-08-01 13:48:30,0.001s,PASSED
"lastNineDigits = String.format(""%09d"", random.nextInt(1000000000))",Chrome 115.0.5790.110,,,2023-08-01 13:48:30,2023-08-01 13:48:30,0.001s,PASSED
"randomNumber = ""0815"" + lastNineDigits",Chrome 115.0.5790.110,,,2023-08-01 13:48:30,2023-08-01 13:48:30,0.000s,PASSED
return randomNumber,Chrome 115.0.5790.110,,,2023-08-01 13:48:30,2023-08-01 13:48:30,0.001s,PASSED
"setText(findTestObject(""Page_Bebeclub - Membership Registration/input__number-form""), randomNum)",Chrome 115.0.5790.110,,,2023-08-01 13:48:30,2023-08-01 13:48:30,0.270s,PASSED
