Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
HALO TELKOMSEL,Chrome 116.0.0.0,,,2023-08-28 15:53:49,2023-08-28 15:56:36,2m - 47.527s,FAILED
,,,,,,,
Test Cases/REGISTER/Prefix ID/0811 KARTU HALO,Chrome 116.0.0.0,Prefix indo,,2023-08-28 15:53:49,2023-08-28 15:54:11,22.280s,FAILED
"openBrowser("""")",Chrome 116.0.0.0,,,2023-08-28 15:53:50,2023-08-28 15:53:53,2.903s,PASSED
maximizeWindow(),Chrome 116.0.0.0,,,2023-08-28 15:53:53,2023-08-28 15:53:53,0.146s,PASSED
"navigateToUrl(""https://bebeclub.eydendigital.co.id/membership/registration"")",Chrome 116.0.0.0,,,2023-08-28 15:53:53,2023-08-28 15:54:00,6.668s,PASSED
"setText(findTestObject(""Membership Registration/input_Nama Depan_first-name-form""), ""aziza"")",Chrome 116.0.0.0,,,2023-08-28 15:54:00,2023-08-28 15:54:01,1.519s,PASSED
"setText(findTestObject(""Membership Registration/input_Nama Belakang_last-name-form""), ""prefix"")",Chrome 116.0.0.0,,,2023-08-28 15:54:01,2023-08-28 15:54:02,0.931s,PASSED
randomNum = generateRandomNumber(),Chrome 116.0.0.0,,,2023-08-28 15:54:02,2023-08-28 15:54:02,0.000s,PASSED
random = new java.util.Random(),Chrome 116.0.0.0,,,2023-08-28 15:54:02,2023-08-28 15:54:02,0.008s,PASSED
"lastNineDigits = String.format(""%09d"", random.nextInt(1000000000))",Chrome 116.0.0.0,,,2023-08-28 15:54:02,2023-08-28 15:54:02,0.000s,PASSED
"randomNumber = ""0811"" + lastNineDigits",Chrome 116.0.0.0,,,2023-08-28 15:54:02,2023-08-28 15:54:02,0.000s,PASSED
return randomNumber,Chrome 116.0.0.0,,,2023-08-28 15:54:02,2023-08-28 15:54:02,0.000s,PASSED
"setText(findTestObject(""Membership Registration/input__number-form""), randomNum)",Chrome 116.0.0.0,,,2023-08-28 15:54:02,2023-08-28 15:54:03,1.160s,PASSED
"setEncryptedText(findTestObject(""Membership Registration/input_Password_pass-form""), ""iFGeFYmXIrUhQZHvW7P22w=="")",Chrome 116.0.0.0,,,2023-08-28 15:54:03,2023-08-28 15:54:04,0.619s,PASSED
"setEncryptedText(findTestObject(""Membership Registration/input_Konfirmasi Password_konfirmasipass-form""), ""iFGeFYmXIrUhQZHvW7P22w=="")",Chrome 116.0.0.0,,,2023-08-28 15:54:04,2023-08-28 15:54:04,0.713s,PASSED
"selectOptionByLabel(findTestObject(""Membership Registration/select_Pilih Kondisi Ibu Saat Ini""), ""Belum Hamil & Tidak Mempunyai Anak"", false)",Chrome 116.0.0.0,,,2023-08-28 15:54:04,2023-08-28 15:54:05,0.940s,PASSED
"click(findTestObject(""Membership Registration/button_Kirim Kode OTP""))",Chrome 116.0.0.0,,,2023-08-28 15:54:05,2023-08-28 15:54:06,0.626s,PASSED
delay(4),Chrome 116.0.0.0,,,2023-08-28 15:54:06,2023-08-28 15:54:10,4.079s,PASSED
"verifyTextPresent(""Berhasil"", false)",Chrome 116.0.0.0,,,2023-08-28 15:54:10,2023-08-28 15:54:11,0.505s,FAILED
"click(findTestObject(""Membership Registration/img""))",Chrome 116.0.0.0,,,2023-08-28 15:54:11,2023-08-28 15:54:11,0.767s,FAILED
,,,,,,,
Test Cases/REGISTER/Prefix ID/0812 TELKOMSEL,Chrome 116.0.0.0,Prefix indo,,2023-08-28 15:54:11,2023-08-28 15:54:43,31.944s,FAILED
